Company,Country,R&D,Admin,Marketing,Profit
1,Ireland,1000.23,124153.04,1903.93,64926.08
2,England,78389.47,153773.43,299737.29,111313.02
3,France,20229.59,65947.93,185265.1,81229.06
4,Spain,78013.11,121597.55,264346.06,126992.93
5,Ireland,0,135426.92,0,42559.73
6,Germany,67532.53,105751.03,304768.73,108733.99
7,Spain,91749.16,114175.79,294919.57,124266.9
8,England,61136.38,152701.92,88218.23,97483.56
9,Germany,142107.34,91391.77,366168.42,166187.94
10,France,153441.51,101145.55,407934.54,191050.39
11,Ireland,114523.61,122616.84,261776.23,129917.04
12,Germany,0,116983.8,45173.06,14681.4
13,Germany,38558.51,82982.09,174999.3,81005.76
14,Spain,101913.08,110594.11,229160.95,146121.95
15,Ireland,66051.52,182645.56,118148.2,103282.38
16,England,131876.9,99814.71,362861.36,156991.12
17,Ireland,22177.74,154806.14,28334.72,65200.33
18,Spain,28754.33,118546.05,172795.67,78239.91
19,France,162597.7,151377.59,443898.53,191792.06
20,Ireland,76253.86,113867.3,298664.47,118474.03
21,Germany,77044.01,99281.34,140574.81,108552.04
22,England,93863.75,127320.38,249839.44,141585.52
23,Spain,91992.39,135495.07,252664.93,134307.35
24,Ireland,75328.87,144135.98,134050.07,105733.54
25,Ireland,73994.56,122782.75,303319.26,110352.25
26,Germany,1315.46,115816.21,297114.46,49490.75
27,France,123334.88,108679.17,304981.62,149759.96
28,Spain,63408.86,129219.61,46085.25,97427.84
29,Ireland,72107.6,127864.55,353183.81,105008.31
30,Ireland,120542.52,148718.95,311613.29,152211.77
31,England,27892.92,84710.77,164470.71,77798.83
32,Spain,542.05,51743.15,0,35673.41
33,France,44069.95,51283.14,197029.42,89949.14
34,Germany,61994.48,115641.28,91131.24,99937.59
35,Ireland,134615.46,147198.87,127716.82,156122.51
36,Spain,119943.24,156547.42,256512.92,132602.65
37,England,64664.71,139553.16,137962.62,107404.34
38,Ireland,130298.13,145530.06,323876.68,155752.6
39,France,86419.7,153514.11,0,122776.86
40,Germany,94657.16,145077.58,282574.31,125370.37
41,France,100671.96,91790.61,249744.55,144259.4
42,Spain,46426.07,157693.92,210797.67,96712.8
43,Ireland,28663.76,127056.21,201126.82,90708.19
44,Ireland,23640.93,96189.63,148001.11,71498.49
45,Germany,46014.02,85047.44,205517.64,96479.51
46,France,15505.73,127382.3,35534.17,69758.98
47,England,165349.2,136897.8,471784.1,192261.83
48,Spain,65605.48,153032.06,107138.38,101004.64
49,Ireland,55493.95,103057.49,214634.81,96778.92
50,France,144372.41,118671.85,383199.62,182901.99
